<<<<<<<<<<<<<<<<<<<<<<<<
Xf$Name                Xe$Offset   Xe$Name                Xe$DataType   Xe$Size
X$Attrib                       0         0        272   (Null)                 Xa$Id               
X$Attrib                       0         1        256   (Null)                 Xa$Type             
X$Field                        0         0        256   (Null)                 Xe$Id               
X$Field                        1         0        257   (Null)                 Xe$File             
X$Field                        2         0        291   (Null)                 Xe$Name             
X$Field                        3         0        274   (Null)                 Xe$File             
X$Field                        3         1        290   (Null)                 Xe$Name             
X$Field                        4         0        275   (Null)                 Xe$File             
X$Field                        4         1        275   (Null)                 Xe$Offset           
X$Field                        4         2        259   (Null)                 Xe$Dec              
X$File                         0         0        256   (Null)                 Xf$Id               
X$File                         1         0        290   (Null)                 Xf$Name             
X$Index                        0         0        257   (Null)                 Xi$File             
X$Index                        1         0        257   (Null)                 Xi$Field            
X$Index                        2         0        274   (Null)                 Xi$File             
X$Index                        2         1        274   (Null)                 Xi$Number           
X$Index                        2         2        258   (Null)                 Xi$Part             
X$Occurs                       0         0        256   (Null)                 Xo$FileId           
X$Proc                         0         0        306   (Null)                 Xp$Name             
X$Proc                         0         1        258   (Null)                 Xp$Id               
X$Relate                       0         0        257   (Null)                 Xr$PId              
X$Relate                       1         0        257   (Null)                 Xr$FId              
X$Relate                       2         0        290   (Null)                 Xr$Name             
X$Relate                       3         0        274   (Null)                 Xr$PId              
X$Relate                       3         1        290   (Null)                 Xr$Name             
X$Relate                       4         0        274   (Null)                 Xr$FId              
X$Relate                       4         1        290   (Null)                 Xr$Name             
X$Rights                       0         0        259   (Null)                 Xr$User             
X$Rights                       1         0        274   (Null)                 Xr$User             
X$Rights                       1         1        274   (Null)                 Xr$Table            
X$Rights                       1         2        258   (Null)                 Xr$Column           
X$Rights                       2         0        275   (Null)                 Xr$Table            
X$Rights                       2         1        259   (Null)                 Xr$Column           
X$Trigger                      0         0        306   (Null)                 Xt$Name             
X$Trigger                      0         1        258   (Null)                 Xt$Sequence         
X$Trigger                      1         0        274   (Null)                 Xt$File             
X$Trigger                      1         1        306   (Null)                 Xt$Name             
X$Trigger                      1         2        258   (Null)                 Xt$Sequence         
X$Trigger                      2         0        275   (Null)                 Xt$File             
X$Trigger                      2         1        275   (Null)                 Xt$Event            
X$Trigger                      2         2        275   (Null)                 Xt$ActionTime       
X$Trigger                      2         3        275   (Null)                 Xt$ForEach          
X$Trigger                      2         4        275   (Null)                 Xt$Order            
X$Trigger                      2         5        259   (Null)                 Xt$Sequence         
X$User                         0         0        259   (Null)                 Xu$Id               
X$User                         1         0        290   (Null)                 Xu$Name             
X$Variant                      0         0        256   (Null)                 Xvar$FileId         
X$View                         0         0        291   (Null)                 Xv$Name             
X$View                         1         0        306   (Null)                 Xv$Name             
X$View                         1         1        274   (Null)                 Xv$Version          
X$View                         1         2        258   (Null)                 Xv$Id               

105 rows were affected.

>>>>>>>>>>>>>>>>>>>>>>>>

